abide       abided/abode      abided/abode         drink        drank            drunk
arise       arose             arisen               drive        drove            driven
awake       awaked/awoke      awoken               dwell        dwelled/dwelt    dwelled/dwelt
be          was/were          been                 eat          ate              eaten
bear        bore              born                 interweave   interwove        interwoven
beat        beat              beaten               fall         fell             fallen
become      became            become               feed         fed              fed
befall      befell            befallen             feel         felt             felt
beget       begot             begotten             fight        fought           fought
begin       began             begun                find         found            found
behold      beheld            beheld               flee         fled             fled
bend        bent              bent                 fling        flung            flung
bereave     bereft            bereft               fly          flew             flown
beseech     besought          besought             forbid       forbad(e)        forbidden
beset       beset             beset                forecast     forecast(ed)     forecast(ed)
bespeak     bespoke           bespoken             forget       forgot           forgotten
bestride    bestrode          bestridden           forgive      forgave          forgiven
bet         bet               bet                  forsake      forsook          forsaken
bid         bade/bid          bidden/bid           foresee      foresaw          foreseen
bind        bound             bound                foretell     foretold         foretold
bite        bit               bitten               freeze       froze            frozen
bleed       bled              bled                 get          got              got
blow        blew              blown                give         gave             given
break       broke             broken               go           went             gone
breed       bred              bred                 grind        ground           ground
bring       brought           brought              grow         grew             grown
broadcast   broadcast(ed)     broadcast(ed)        hang         hanged/hung      hanged/hung
build       built             built                have         had              had
burn        burned/burnt      burned/burnt         hear         heard            heard
burst       burst             burst                hide         hid              hidden
buy         bought            bought               hit          hit              hit
can         could                                  hold         held             held
cast        cast              cast                 hurt         hurt             hurt
catch       caught            caught               keep         kept             kept
choose      chose             chosen               kneel        knelt            knelt
cling       clung             clung                know         knew             known
come        came              come                 lay          laid             laid
cost        cost              cost                 lead         led              led
creep       crept             crept                lean         leaned/leant     leaned/leant
cut         cut               cut                  leap         leapt            leapt
deal        dealt             dealt                learn        learned/learnt   learned/learnt
dig         dug               dug                  leave        left             left
do          did               done                 lend         lent             lent
draw        drew              drawn                let          let              let
dream       dreamed/dreamt    dreamed/dreamt       lie          lay              lain
lose        lost             lost                 spin         spun             spun
make        made             made                 spit         spat             spat
mean        meant            meant                split        split            split
meet        met              met                  spoil        spoiled/spoilt   spoiled/spoilt
pay         paid             paid                 spread       spread           spread
mistake     mistook          mistaken             spring       sprang           sprung
overhear    overheard        overheard            stand        stood            stood
oversleep   overslept        overslept            steal        stole            stolen
put         put              put                  stick        stuck            stuck
read        read             read                 sting        stung            stung
rend        rended/rent      rended/rent          stink        stank            stunk
rid         rid              rid                  stride       strode           stridden
ride        rode             ridden               strike       struck           struck
ring        rang             rung                 string       strung           strung
rise        rose             risen                strive       strove           striven
run         ran              run                  swear        swore            sworn
say         said             said                 sweep        swept            swept
see         saw              seen                 swim         swam             swum
seek        sought           sought               swing        swung            swung
sell        sold             sold                 take         took             taken
send        sent             sent                 teach        taught           taught
set         set              set                  tear         tore             torn
shake       shook            shaken               tell         told             told
shed        shed             shed                 think        thought          thought
shine       shone            shone                throw        threw            thrown
shit        shit/shat        shit/shat            thrust       thrust           thrust
shoot       shot             shot                 tread        treaded/trod     trodden
show        showed           shown                understand   understood       understood
shrink      shrank           shrunk               undertake    undertook        undertaken
shrive      shrove           shriven              undo         undid            undone
shut        shut             shut                 upset        upset            upset
sing        sang             sung                 wake         woke             woken
sink        sank             sunk                 wear         wore             worn
sit         sat              sat                  weave        wove             woven
slay        slew             slain                weep         wept             wept
sleep       slept            slept                win          won              won
slide       slid             slid                 wind         wound            wound
sling       slung            slung                withdraw     withdrew         withdrawn
slink       slunk            slunk                withstand    withstood        withstood
slit        slit             slit                 wring        wrung            wrung
smell       smelled/smelt    smelled/smelt        write        wrote            written
smite       smote            smitten
speak       spoke            spoken
speed       speeded/sped     speeded/sped
spend       spent            spent
